artist_name,artist_followers,artist_genres,artist_popularity,track_name,album_name,release_date,track_duration,track_popularity
James Arthur,19290758,"pop, talent show, uk pop",82,A Thousand Years,A Thousand Years,2023-03-24,254,68
Daniela Andrade,409677,"canadian contemporary r&b, folk-pop",58,La Vie En Rose,La Vie En Rose,2015-01-28,105,59
Music Travel Love,1020915,canadian contemporary country,70,Nothing's Gonna Change My Love for You,Nothing's Gonna Change My Love for You,2024-01-02,202,62
Christina Perri,4005025,pop,73,here comes the sun,songs for rosie,2021-11-24,167,55
Iron & Wine,1127503,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler",65,Time After Time,Time After Time,2016-10-28,170,62
Noah Guthrie,68740,,44,Set Fire to the Rain - Cover,"The Covers, Vol. 4",2014,233,54
Levent Geiger,176622,singer-songwriter pop,48,Creepin',Creepin',2023-11-10,199,55
Lana Del Rey,42809702,"art pop, pop",92,"Take Me Home, Country Roads","Take Me Home, Country Roads",2023-12-01,166,66
AnnenMayKantereit,2038058,"cologne indie, german singer-songwriter",69,Tom's Diner,Tom's Diner,2019-06-28,269,72
Boyce Avenue,3062444,"acoustic cover, neo mellow, viral pop",69,Too Good at Goodbyes,"Cover Sessions, Vol. 4",2017-12-19,207,53
Jonah Baker,52293,acoustic cover,58,Flowers - Acoustic Version,Flowers (Acoustic Version),2023-02-07,182,53
Sarah Cothran,297216,gen z singer-songwriter,56,As the World Caves In,As the World Caves In,2021-06-10,161,67
Phoebe Bridgers,2663269,"indie pop, la indie, pov: indie",80,So Much Wine,So Much Wine,2022-11-17,243,63
Gregory Alan Isakov,994289,"indie folk, pop folk, stomp and flutter, stomp and holler",73,Salt And The Sea,Amerikinda: 20 Years of Dualtone,2021-08-06,262,2
Conor Maynard,2110282,"post-teen pop, talent show, uk pop, viral pop",65,You Broke Me First,You Broke Me First,2020-10-16,160,36
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Visiting Hours,Visiting Hours,2021-08-19,215,1
Billie Eilish,104092602,"art pop, pop",96,Your Power,Happier Than Ever,2021-07-30,245,73
Kina Grannis,516378,"acoustic pop, viral pop",61,Can't Help Falling In Love,Crazy Rich Asians (Original Motion Picture Soundtrack),2018-08-10,201,64
Olivia Rodrigo,42203840,pop,88,favorite crime,SOUR,2021-05-21,152,81
Music Travel Love,1020915,canadian contemporary country,70,I Want It That Way,I Want It That Way,2021-08-10,191,51
Eden Elf,7734,acoustic cover,52,peaches,acoustic covers vol.2,2021-12-24,192,47
Loi,102140,,57,Blinding Lights,Blinding Lights,2021-09-17,147,59
Daniela Andrade,409677,"canadian contemporary r&b, folk-pop",58,Creep,"Covers, Vol. 1",2013-04-04,214,54
Rosie Carney,60607,"indie folk, irish singer-songwriter",45,High And Dry,The Bends,2020-12-11,232,0
Us The Duo,417711,"folk-pop, viral pop",51,drivers license,drivers license,2021-02-01,228,0
Angus & Julia Stone,1297279,"australian indie folk, indie folk",67,Stay With Me - Live From Spotify Berlin,Spotify Sessions,2015-01-13,174,45
Phoebe Bridgers,2663269,"indie pop, la indie, pov: indie",80,That Funny Feeling,That Funny Feeling,2021-10-04,400,63
Dua Lipa,45222497,"dance pop, pop, uk pop",88,"I'm Not the Only One - Live from Spotify, London",Spotify Session,2016-07-08,195,57
Ryan Montbleau,49847,"boston folk, modern folk rock",47,Fast Car (feat. Tall Heights),All or Nothing / Fast Car,2014-09-30,272,55
Birdy,3720753,"neo mellow, uk pop, viral pop",71,Skinny Love,Birdy,2011-11-07,201,53
Us The Duo,417711,"folk-pop, viral pop",51,Better Together,Better Together,2015-04-28,200,57
John Mayer,6101705,"neo mellow, singer-songwriter",78,"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",Where the Light Is: John Mayer Live In Los Angeles,2008,263,67
Jake Shimabukuro,86976,ukulele,53,A Place In The Sun (feat. Jack Johnson with Paula Fuga),Why Not,2021-10-14,256,0
Noah Cyrus,1526397,"alt z, pop",75,re: Stacks - Spotify Singles,Spotify Singles,2021-03-11,309,48
Freedom Fry,53503,folk-pop,48,Linger,Linger,2016-11-29,201,53
Sia,29080133,pop,88,Elastic Heart - Piano Version,1000 Forms Of Fear (Deluxe Version),2015-05-04,250,61
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Turning Tables,21,2011-01-19,250,0
Sam Smith,24900100,"pop, uk pop",84,Latch - Acoustic,In The Lonely Hour (Deluxe),2014-07-15,223,0
Eden Elf,7734,acoustic cover,52,falling,acoustic covers vol.1,2021-04-30,145,45
Walk off the Earth,802407,"canadian rock, pop rock",61,The Best,The Best,2021-01-29,176,38
Mike Posner,1423005,"dance pop, pop, pop dance, pop rap",71,I Took A Pill In Ibiza,The Truth,2015-06-22,281,0
Angus & Julia Stone,1297279,"australian indie folk, indie folk",67,Big Jet Plane,Down The Way,2010-03-12,239,59
Adam Levine,1027437,deep talent show,73,Lost Stars,Lost Stars,2014-06-23,267,51
Keira Knightley,76174,hollywood,46,Lost Stars,Begin Again - Music From And Inspired By The Original Motion Picture,2014-07-01,240,51
Sia,29080133,pop,88,Breathe Me,Six Feet Under: Everything Ends,2002-01-01,271,0
Bon Iver,3751941,"chamber pop, eau claire indie, indie folk, melancholia, modern rock",78,Skinny Love,"For Emma, Forever Ago",2007-07-08,238,0
James Vincent McMorrow,598852,"chamber pop, indie folk, irish singer-songwriter, stomp and holler",59,"Wicked Game - Recorded Live at St Canice Cathedral, Kilkenny","Wicked Game (Recorded Live at St Canice Cathedral, Kilkenny)",2016,271,58
Boyce Avenue,3062444,"acoustic cover, neo mellow, viral pop",69,Fast Car (feat. Kina Grannis),"Cover Collaborations, Vol. 1",2010-12-06,304,0
Jasmine Thompson,874887,viral pop,67,Like I'm Gonna Lose You,Like I'm Gonna Lose You,2015-10-09,232,59
Rudimental,1387899,"pop dance, uk dance, uk funky",71,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Toast to Our Differences (Deluxe Edition),2019-01-25,211,71
Eden Elf,7734,acoustic cover,52,sad,acoustic covers vol.1,2021-04-30,90,43
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Baby One More Time - Recorded at Spotify Studios New York City,Spotify Singles,2017-06-07,177,56
Megan Davies,126397,"acoustic cover, viral pop",51,Summertime Sadness (Acoustic Cover) feat. Keelan Donovan,Summertime Sadness (Acoustic Cover) feat. Keelan Donovan,2014-07-17,231,50
Imagine Dragons,55668981,"modern rock, pop, rock",89,Blank Space/Stand By Me - Live From Spotify London,Imagine Dragons (Spotify Sessions),2015-04-20,303,61
Boyce Avenue,3062444,"acoustic cover, neo mellow, viral pop",69,Photograph,"Cover Sessions, Vol. 4",2017-12-19,260,61
Kacey Musgraves,1516002,"classic texas country, contemporary country, country dawn",78,Apologize (Acoustic Version),Apologize + See You Again (Acoustic),2013-05-09,151,48
John Mayer,6101705,"neo mellow, singer-songwriter",78,XO,XO,2014-05-27,213,64
Maroon 5,43536274,pop,87,Sex And Candy,V (Deluxe),2014-09-02,264,41
Eden Elf,7734,acoustic cover,52,american boy,acoustic covers vol.1,2021-04-30,140,43
Landon Austin,79743,"channel pop, viral pop",49,Hide Away - Acoustic Version,Hide Away,2016-03-11,211,0
James TW,1362439,"british singer-songwriter, uk pop",63,When You Love Someone,Chapters,2019-04-26,216,67
Eden Elf,7734,acoustic cover,52,rockstar,acoustic covers vol.1,2021-04-30,139,42
Johnny Cash,6525419,"arkansas country, outlaw country, rock",76,Personal Jesus,The Legend Of Johnny Cash,2005-01-01,198,0
Kygo,8516243,"edm, pop, pop dance, tropical house",82,Firestone - Live Acoustic Version,Firestone (Live Acoustic Version),2015-01-30,226,52
Alicia Keys,12280872,"neo soul, pop, r&b",80,ocean eyes - Recorded Live at Jungle City Studios,Spotify Singles,2019-12-04,184,54
Megan Davies,126397,"acoustic cover, viral pop",51,Take Me To Church (Acoustic Cover) feat. Matt Wright,Take Me To Church (Acoustic Cover) feat. Matt Wright,2014-08-28,277,47
Hozier,8195970,"irish singer-songwriter, modern rock, pop, pov: indie",86,Say My Name - Recorded at Spotify Studios NYC,Spotify Singles,2019-01-09,267,55
Ed Sheeran,117932971,"pop, singer-songwriter pop, uk pop",90,Candle In The Wind - 2018 Version,Revamp: The Songs Of Elton John & Bernie Taupin,2018-04-06,198,53
Lewis Capaldi,13073608,"pop, uk pop",81,when the party's over - Recorded at Spotify Studios NYC,Spotify Singles,2019-06-12,232,60
Iron & Wine,1127503,"acoustic pop, chamber pop, indie folk, indie rock, stomp and holler",65,Time After Time,Time After Time,2016-10-28,170,0
Bahamas,394496,"canadian indie, indie folk, stomp and holler",59,Don't You Want Me,The Secret Life Of Walter Mitty (Music From And Inspired By The Motion Picture),2013-01-01,199,0
Boyce Avenue,3062444,"acoustic cover, neo mellow, viral pop",69,Titanium,"New Acoustic Sessions, Vol. 4",2012-07-20,227,0
Eden Elf,7734,acoustic cover,52,save your tears,acoustic covers vol.1,2021-04-30,143,43
Kina Grannis,516378,"acoustic pop, viral pop",61,Chandelier,Chandelier,2014-10-29,212,48
The Highwomen,156624,new americana,49,Highwomen,The Highwomen,2019-09-06,212,54
SYML,850800,modern indie pop,74,Where's My Love,Where's My Love,2017-07-07,202,0
Fancy Cars,10087,"pop edm, progressive electro house",33,I'll Follow - Acoustic Version,I'll Follow (Acoustic Version),2017-04-21,198,43
Junge Junge,66008,tropical house,45,I Don't Love You (I'm Just Lonely) - Acoustic,I Don't Love You (I'm Just Lonely) [Acoustic],2017-07-07,183,43
New Portals,1833,indie electropop,30,Change of Mind - Acoustic,Change of Mind (Acoustic),2018-05-30,183,43
Hollow Coves,737930,"indie anthem-folk, indie folk, modern indie folk",69,Coastline,Coastline,2016-11-18,233,0
Jade Bird,166347,"folk-pop, uk americana",44,Does Anybody Know,Jade Bird,2019-04-19,207,0
Timeflies,317918,indie pop rap,49,Raincoat - Acoustic,Raincoat (Acoustic),2017-10-24,215,0
Eden Elf,7734,acoustic cover,52,cry me a river,acoustic covers vol.1,2021-04-30,178,42
The Lumineers,5570887,"folk-pop, modern rock, neo mellow, stomp and holler",79,Gloria,III,2019-09-13,216,11
Thomas Daniel,25240,acoustic cover,46,What About Us - Acoustic,What About Us (Acoustic),2017-09-01,255,53
Sarah Jarosz,157916,"ectofolk, folk, indie folk, new americana, progressive bluegrass",51,I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking For / my future,2021-01-29,212,52
Scott Bradlee's Postmodern Jukebox,1143567,"jazz cover, swing",61,Creep,Emoji Antique,2015-04-23,283,56
Daulton Hopkins,4166,,35,I Melt with You,I Melt with You,2020-11-20,217,0
Daniela Andrade,409677,"canadian contemporary r&b, folk-pop",58,Crazy in Love,Crazy in Love,2014-03-14,227,52
Adele,61009632,"british soul, pop, pop soul, uk pop",87,Easy On Me,30,2021-11-19,224,82
Lissie,232013,folk-pop,53,Dreams - Piano Version,Dreams (Piano Version),2019-03-01,274,0
Dermot Kennedy,1582930,"folk-pop, irish pop, uk pop",71,Days Like This,Without Fear (The Complete Edition),2020-11-06,149,0
Aaron Krause,9985,channel pop,41,Every Breath You Take (feat. Liza Anne),Every Breath You Take (feat. Liza Anne),2013-11-22,223,1
Molly Parden,22481,"indie folk, new americana",43,Landslide,Why Worry: A Collection of Covers,2019-06-28,245,48
Roses & Frey,13887,acoustic cover,47,Wake Me Up,Wake Me Up,2018-01-05,196,52
Rhys Lewis,388271,uk pop,55,July - Bedroom Session,July (Bedroom Session),2020-11-06,210,44
Eden Elf,7734,acoustic cover,52,Revenge (XXXTENTACION),Revenge (XXXTENTACION),2021-03-19,112,42
Tom Speight,65561,channel pop,47,Save Tonight,Save Tonight,2020-02-07,270,0
Aloe Blacc,728335,"pop soul, r&b",65,Wake Me Up - Acoustic,Lift Your Spirit,2013-01-01,225,57
Elton John,14167109,"glam rock, mellow gold, piano rock, rock",86,Cold Heart - Acoustic,Cold Heart (Acoustic),2021-10-12,195,57
